"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"SCULARCH","Fish","Arched sculpin","Sigmistes smithi","sculpins",0,0,0,0,0,"Cottidae"
"SCULARMR","Fish","Armorhead sculpin","Gymnocanthus galeatus","sculpins",0,0,0,0,0,"Cottidae"
"SCULARTE","Fish","unidentified Artedius sculpin","Artedius species","sculpins",0,0,0,0,0,"Cottidae"
"SCULASTG","Fish","Arctic staghorn sculpin","Gymnocanthus tricuspis","sculpins",0,0,0,0,0,"Cottidae"
"SCULBB","Fish","Brightbelly sculpin","Microcottus sellaris","sculpins",0,0,0,0,0,"Cottidae"
"SCULBEL","Fish","Belligerent sculpin","Megalocottus platycephalus","sculpins",0,0,0,0,0,"Cottidae"
"SCULBIGM","Fish","Bigmouth sculpin","Hemitripterus bolini","sailfin sculpins",0,0,0,0,0,"Hemitripteridae"
"SCULBUF","Fish","Buffalo sculpin","Enophrys bison","sculpins",0,0,0,0,0,"Cottidae"
"SCULBUT","Fish","Butterfly sculpin","Hemilepidotus papilio","sculpins",0,0,0,0,0,"Cottidae"
"SCULCRE","Fish","Crested sculpin","Blepsias bilobus","sailfin sculpins",0,0,0,0,0,"Hemitripteridae"
"SCULEYES","Fish","Eyeshade sculpin","Nautichthys pribilovius","sailfin sculpins",0,0,0,0,0,"Hemitripteridae"
"SCULFLU","Fish","Fluffy sculpin","Oligocottus snyderi","sculpins",0,0,0,0,0,"Cottidae"
"SCULGRT","Fish","Great sculpin","Myoxocephalus polyacanthocephalus","sculpins",0,0,0,0,0,"Cottidae"
"SCULHAIR","Fish","Hairhead sculpin","Trichocottus brashnikovi","sculpins",0,0,0,0,0,"Cottidae"
"SCULHIBR","Fish","Highbrow sculpin","Triglops metopias","sculpins",0,0,0,0,0,"Cottidae"
"SCULLEI","Fish","Leister sculpin","Enophrys lucasi","sculpins",0,0,0,0,0,"Cottidae"
"SCULMAN","Fish","Manacled sculpin","Synchirus gilli","sculpins",0,0,0,0,0,"Cottidae"
"SCULNOR","Fish","Northern sculpin","Icelinus borealis","sculpins",0,0,0,0,0,"Cottidae"
"SCULPAD","Fish","Padded sculpin","Artedius fenestralis","sculpins",0,0,0,0,0,"Cottidae"
"SCULPLA","Fish","Plain sculpin","Myoxocephalus jaok","sculpins",0,0,0,0,0,"Cottidae"
"SCULPSTG","Fish","Pacific staghorn sculpin","Leptocottus armatus","sculpins",0,0,0,0,0,"Cottidae"
"SCULRBCK","Fish","Roughback sculpin","Chitonotus pugetensis","sculpins",0,0,0,0,0,"Cottidae"
"SCULRIB","Fish","Ribbed sculpin","Triglops pingelii","sculpins",0,0,0,0,0,"Cottidae"
"SCULRSPN","Fish","Roughspine sculpin","Triglops macellus","sculpins",0,0,0,0,0,"Cottidae"
"SCULSAD","Fish","Saddleback sculpin","Oligocottus rimensis","sculpins",0,0,0,0,0,"Cottidae"
